iter	Passed	Remaining
0	35	17787
1	71	17891
2	109	18088
3	147	18289
4	184	18308
5	222	18288
6	258	18230
7	295	18176
8	333	18211
9	370	18150
10	407	18109
11	444	18070
12	482	18074
13	518	17987
14	555	17963
15	592	17925
16	629	17887
17	665	17820
18	702	17783
19	740	17762
20	777	17725
21	814	17700
22	852	17688
23	889	17636
24	926	17597
25	962	17553
26	998	17487
27	1034	17441
28	1071	17410
29	1107	17356
30	1143	17298
31	1178	17240
32	1216	17213
33	1252	17165
34	1290	17139
35	1334	17197
36	1370	17145
37	1406	17097
38	1442	17052
39	1478	17000
40	1516	16978
41	1553	16943
42	1589	16897
43	1633	16927
44	1668	16874
45	1705	16828
46	1744	16815
47	1779	16755
48	1816	16715
49	1851	16663
50	1888	16625
51	1927	16608
52	1964	16570
53	2002	16536
54	2038	16495
55	2076	16461
56	2112	16416
57	2147	16365
58	2183	16318
59	2218	16270
60	2254	16221
61	2290	16178
62	2326	16139
63	2360	16081
64	2396	16035
65	2434	16008
66	2474	15992
67	2510	15949
68	2544	15894
69	2581	15855
70	2616	15809
71	2652	15764
72	2688	15727
73	2725	15690
74	2764	15664
75	2804	15645
76	2843	15618
77	2879	15580
78	2916	15544
79	2955	15514
80	2996	15497
81	3033	15465
82	3070	15428
83	3109	15396
84	3145	15359
85	3182	15321
86	3221	15292
87	3259	15259
88	3294	15214
89	3332	15179
90	3369	15145
91	3409	15120
92	3445	15078
93	3479	15029
94	3519	15005
95	3560	14983
96	3602	14968
97	3643	14945
98	3683	14919
99	3722	14889
100	3760	14856
101	3798	14821
102	3836	14787
103	3874	14754
104	3912	14717
105	3948	14676
106	3985	14637
107	4021	14596
108	4058	14559
109	4094	14518
110	4132	14481
111	4169	14443
112	4205	14403
113	4245	14376
114	4283	14342
115	4321	14306
116	4360	14275
117	4399	14243
118	4437	14206
119	4479	14185
120	4522	14164
121	4563	14140
122	4603	14111
123	4644	14084
124	4684	14054
125	4723	14020
126	4761	13984
127	4802	13957
128	4845	13935
129	4887	13910
130	4925	13875
131	4960	13829
132	5005	13813
133	5046	13785
134	5087	13754
135	5123	13713
136	5159	13670
137	5197	13634
138	5233	13592
139	5269	13549
140	5306	13510
141	5344	13473
142	5381	13436
143	5418	13396
144	5457	13360
145	5496	13326
146	5536	13295
147	5576	13262
148	5616	13229
149	5655	13196
150	5692	13157
151	5728	13116
152	5763	13071
153	5798	13028
154	5835	12989
155	5872	12949
156	5910	12913
157	5947	12874
158	5986	12839
159	6025	12803
160	6062	12766
161	6100	12728
162	6138	12691
163	6175	12651
164	6210	12609
165	6248	12572
166	6286	12534
167	6324	12497
168	6360	12456
169	6397	12419
170	6435	12381
171	6472	12342
172	6511	12307
173	6547	12267
174	6585	12230
175	6605	12160
176	6643	12122
177	6681	12086
178	6717	12047
179	6754	12007
180	6790	11967
181	6826	11927
182	6861	11885
183	6898	11846
184	6934	11807
185	6973	11772
186	7011	11735
187	7048	11697
188	7083	11656
189	7121	11619
190	7159	11581
191	7196	11544
192	7233	11506
193	7269	11465
194	7303	11423
195	7340	11385
196	7376	11345
197	7413	11307
198	7450	11268
199	7485	11228
200	7521	11188
201	7557	11149
202	7594	11110
203	7631	11073
204	7667	11033
205	7704	10995
206	7741	10958
207	7777	10919
208	7817	10884
209	7853	10844
210	7889	10806
211	7926	10767
212	7964	10732
213	8002	10695
214	8037	10655
215	8075	10617
216	8113	10580
217	8149	10542
218	8186	10503
219	8222	10465
220	8260	10428
221	8297	10389
222	8332	10350
223	8370	10313
224	8408	10276
225	8443	10236
226	8482	10201
227	8517	10160
228	8554	10123
229	8592	10087
230	8630	10050
231	8668	10014
232	8704	9975
233	8741	9937
234	8780	9900
235	8816	9863
236	8854	9825
237	8890	9787
238	8927	9748
239	8965	9712
240	9004	9676
241	9040	9638
242	9076	9599
243	9114	9562
244	9151	9524
245	9189	9488
246	9228	9452
247	9267	9416
248	9302	9376
