순위,title,artist,장르
1위,그때 그 순간 그대로 (그그그), WSG워너비 (가야G),발라드
2위,사랑이야, 케이시,발라드
3위,나의 X에게, 경서,발라드
4위,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈), 이석훈,발라드
5위,팡파레, 다비치,발라드
6위,SuMMer RaiN, 퍼플키스 (PURPLE KISS),발라드
7위,다정히 내 이름을 부르면, 경서예지,발라드
8위,늦은 밤 헤어지긴 너무 아쉬워, 케이시,발라드
9위,취중고백, 김민석 (멜로망스),발라드
10위,드라마, 아이유(IU),발라드
11위,너의 모든 순간, 성시경,발라드
12위,내가 아니라도, 주호,발라드
13위,우리들의 블루스, 임영웅,발라드
14위,사랑은 늘 도망가, 임영웅,발라드
15위,듣고 싶을까, MSG워너비(M.O.M),발라드
16위,"모든 날, 모든 순간 (Every day, Every Moment)", 폴킴(Paul Kim),발라드
17위,마지막 너의 인사, 헤이즈(Heize),발라드
18위,상상 (Beyond My Dreams), 선우정아(Sunwoojunga),발라드
19위,온통 그대뿐인 나죠, 신용재 (2F),발라드
20위,밤하늘의 별을(2020), 경서,발라드
21위,초대, 멜로망스(MeloMance),발라드
22위,안하기가 쉽지 않아요, 수지,발라드
23위,고백하는 취한밤에 (Prod. 2soo), 임재현,발라드
24위,빗방울, 거미,발라드
25위,I LUV U (with 미란이), 김종국,발라드
26위,이러면 안 될 거 아는데 너 앞에만 서면 나락 (Feat. 10CM), 딘딘 (DINDIN),발라드
27위,바라만 본다, MSG워너비(M.O.M),발라드
28위,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지", AKMU(악뮤),발라드
29위,너에게 꼭 말하고 싶은 게 있어, 경서예지,발라드
30위,서랍, 10CM,발라드
31위,고백, 멜로망스(MeloMance),발라드
32위,시든 꽃에 물을 주듯, HYNN(박혜원),발라드
33위,언제나 사랑해, 케이시,발라드
34위,돌고 돌아, 세븐틴(SEVENTEEN),발라드
35위,해요 (2022), #안녕,발라드
36위,With you, 지민,발라드
37위,"나에게로의 초대 (이상한 나라의 앨리스, 하트다 하트여왕)", 조유진 (체리필터),발라드
38위,어른, Sondia,발라드
39위,운이 좋았지, 권진아,발라드
40위,왜 이제와서야 (Why), 황치열,발라드
41위,눈이 오잖아(Feat.헤이즈), 이무진,발라드
42위,밤편지, 아이유(IU),발라드
43위,어제처럼, 폴킴(Paul Kim),발라드
44위,사랑의 인사, WSG워너비 조별경연 (비로봉),발라드
45위,비가 오는 날엔 (2021), 헤이즈(Heize),발라드
46위,Antifreeze, 백예린 (Yerin Baek),발라드
47위,우리가 헤어져야 했던 이유, 비비(BIBI),발라드
48위,용기, 김종완 of NELL,발라드
49위,다시 사랑한다면 (니글니글 버터플라이), 김필(Kim Feel),발라드
50위,선물, 멜로망스(MeloMance),발라드
51위,사계 (Four Seasons), 태연 (TAEYEON),발라드
52위,Can't Control Myself, 태연 (TAEYEON),발라드
53위,그 하루 (feat.반하나), 주호,발라드
54위,호랑수월가, 탑현,발라드
55위,기억해 줘요, 다비치,발라드
56위,겨울잠, 아이유(IU),발라드
57위,내 곁에, 태연 (TAEYEON),발라드
58위,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온), 마크툽(MAKTUB),발라드
59위,산책, 백예린 (Yerin Baek),발라드
60위,다시 만날 수 있을까, 임영웅,발라드
61위,희재, 성시경,발라드
62위,어제 너는 나를 버렸어, 10CM,발라드
63위,Love poem, 아이유(IU),발라드
64위,입술 끝에 두고 온 말, 하은(포맨),발라드
65위,미친 것처럼, V.O.S.,발라드
